__SystemSecurity  [7 methods]
NvWmiBrightness  [2 methods]
WmiMonitorBrightnessMethods  [4 methods]
WmiMonitorDescriptorMethods  [1 methods]
MSFC_FibrePortNPIVMethods  [2 methods]
MSiSCSI_LB_Operations  [1 methods]
MSFC_EventControl  [6 methods]
BcdStore  [15 methods]
MS_SM_FabricAndDomainManagementMethods  [12 methods]
MS_SM_PortInformationMethods  [9 methods]
MSiSCSIInitiator_MethodClass  [9 methods]
MSFC_HBAFCPInfo  [8 methods]
MSiSCSIInitiator_iSNSServerClass  [1 methods]
MSFC_HBAAdapterMethods  [19 methods]
MSStorageDriver_FailurePredictFunction  [8 methods]
MSFC_FibrePortHBAMethods  [1 methods]
MS_SM_TargetInformationMethods  [8 methods]
MSNdis_QueryNicSwitchCurrentCapabilities  [1 methods]
MSNdis_QueryPhysicalMediumTypeEx  [1 methods]
MSNdis_SetHDSplitParameters  [1 methods]
MSNdis_TcpConnectionOffloadHardwareConfig  [1 methods]
MSNdis_QueryReceiveQueueParameters  [1 methods]
MSNdis_QueryStatisticsInfo  [1 methods]
MSNdis_QueryReceiveFilterParameters  [1 methods]
MSNdis_EnumerateReceiveQueues  [1 methods]
MSNdis_SetTcpOffloadParameters  [1 methods]
IntelWiFiOidWrapper  [1 methods]
MSNdis_SetInterruptModeration  [1 methods]
IntelWiFiDebugCommands  [6 methods]
MSNdis_TcpOffloadCurrentConfig  [1 methods]
MSNdis_QueryPortState  [1 methods]
IntelWiFiDDDCommands  [2 methods]
MSNdis_QueryPciDeviceCustomProperty  [1 methods]
MSNdis_LinkState  [1 methods]
MSNdis_ReceiveScaleCapabilities  [1 methods]
MSNdis_HDSplitCurrentConfig  [1 methods]
MSNdis_QueryReceiveFilterHardwareCapabilities  [1 methods]
MSNdis_QueryNicSwitchHardwareCapabilities  [1 methods]
MSNdis_SetPortParameters  [1 methods]
MSNdis_EnumeratePorts  [1 methods]
MSNdis_SetLinkParameters  [1 methods]
MSNdis_QueryInterruptModeration  [1 methods]
MSNdis_TcpOffloadHardwareConfig  [1 methods]
MSNdis_QueryReceiveFilterGlobalParameters  [1 methods]
MSNdis_QueryReceiveFilterCurrentCapabilities  [1 methods]
IntelWiFiDriverInfo  [2 methods]
MSNdis_EnumerateReceiveFilters  [1 methods]
IntelWiFiDeviceInfo  [3 methods]
IntelWiFiMemAccess  [3 methods]
MSNdis_TcpConnectionOffloadCurrentConfig  [1 methods]
WHEAPluginCtlMethods  [1 methods]
WHEAPageOfflineMethods  [1 methods]
WHEAErrorInjectionMethods  [2 methods]
WHEAPolicyManagementMethods  [5 methods]
WHEAErrorSourceMethods  [5 methods]
MSiSCSI_ManagementOperations  [1 methods]
MS_SM_ScsiInformationMethods  [3 methods]
MSFC_FibrePortNPIVMethodsEx  [6 methods]
MSiSCSIInitiator_SendTargetPortalClass  [1 methods]
MSiSCSIInitiator_SessionClass  [6 methods]
MSiSCSIInitiator_TargetClass  [1 methods]
MS_SM_EventControl  [6 methods]
BcdObject  [17 methods]
